Nhood,Lat,Lon,r_lat,r_lon
Armatage,44.89800605,-93.31124529,0.0050,0.0050
Audubon Park,45.01825765,-93.23839021,0.0050,0.0050
Bancroft,44.93053452,-93.25492457,0.0050,0.0050
Beltrami,44.99500069,-93.24266866,0.0050,0.0050
Bottineau,45.00938299,-93.26848701,0.0050,0.0050
Bryant,44.93051997,-93.26860058,0.0050,0.0050
Bryn - Mawr,44.97146774,-93.31527125,0.0050,0.0050
Camden Industrial,45.0333466,-93.28420758,0.0050,0.0050
CapitolRiver Council,44.94952805,-93.09620696,0.0050,0.0050
CARAG,44.94303497,-93.29324475,0.0050,0.0050
Cedar - Isles - Dean,44.95310957,-93.31842603,0.0050,0.0050
Cedar Riverside,44.96915964,-93.24188073,0.0050,0.0050
Central,44.94124491,-93.26864533,0.0050,0.0050
Cleveland,45.01867181,-93.31338209,0.0050,0.0050
Columbia Park,45.02806223,-93.26105242,0.0050,0.0050
Como,44.9792768,-93.14562231,0.0050,0.0050
Como (Minneapolis),44.98623308,-93.2207611,0.0050,0.0050
Cooper,44.94751979,-93.21023029,0.0050,0.0050
Corcoran,44.94255546,-93.24089807,0.0050,0.0050
Dayton's Bluff,44.955855,-93.05934272,0.0050,0.0050
Diamond Lake,44.89744664,-93.26269411,0.0050,0.0050
Downtown East,44.9760663,-93.25411332,0.0050,0.0050
Downtown West,44.9778478,-93.2701272,0.0050,0.0050
East Harriet,44.92894055,-93.29843451,0.0050,0.0050
East Isles,44.95519501,-93.3003753,0.0050,0.0050
East Phillips,44.95344407,-93.24706494,0.0050,0.0050
Eastview-Conway-Battle Creek-Highwood Hills,44.92826134,-93.0250814,0.0050,0.0050
ECCO,44.94303756,-93.30440943,0.0050,0.0050
Elliot Park,44.96956629,-93.26182243,0.0050,0.0050
Ericsson,44.92084538,-93.23301403,0.0050,0.0050
Field,44.91541879,-93.26888816,0.0050,0.0050
Folwell,45.01861152,-93.30068426,0.0050,0.0050
Fulton,44.91156251,-93.31884514,0.0050,0.0050
Hale,44.90852704,-93.25448108,0.0050,0.0050
Hamline-Midway,44.96320283,-93.16755361,0.0050,0.0050
Harrison,44.98060365,-93.303776,0.0050,0.0050
Hawthorne,45.00618585,-93.28423015,0.0050,0.0050
Hiawatha,44.92172005,-93.20994003,0.0050,0.0050
Highland,44.91023727,-93.17142371,0.0050,0.0050
Holland,45.01172513,-93.2557234,0.0050,0.0050
Howe,44.93625276,-93.21548615,0.0050,0.0050
Humboldt Industrial Area,45.04172507,-93.30740497,0.0050,0.0050
Jordan,45.00733385,-93.30333013,0.0050,0.0050
Keewaydin,44.9108648,-93.2349076,0.0050,0.0050
Kenny,44.89854118,-93.29688775,0.0050,0.0050
Kenwood,44.96176603,-93.31123223,0.0050,0.0050
King Field,44.92866077,-93.28148939,0.0050,0.0050
Lind - Bohanon,45.04423217,-93.29082901,0.0050,0.0050
Linden Hills,44.92751673,-93.31871949,0.0050,0.0050
Logan Park,45.00316856,-93.2523403,0.0050,0.0050
Longfellow,44.94815482,-93.2285154,0.0050,0.0050
Loring Park,44.96966157,-93.28076295,0.0050,0.0050
Lowry Hill,44.96768275,-93.29546992,0.0050,0.0050
Lowry Hill East,44.95501162,-93.29214141,0.0050,0.0050
Lyndale,44.94303093,-93.28143931,0.0050,0.0050
Lynnhurst,44.91230805,-93.29843971,0.0050,0.0050
Macalester-Groveland,44.93398858,-93.17450911,0.0050,0.0050
Marcy Holmes,44.98507664,-93.24518793,0.0050,0.0050
Marshall Terrace,45.02105213,-93.27027375,0.0050,0.0050
McKinley,45.01831873,-93.28467513,0.0050,0.0050
Mid - City Industrial,44.99728014,-93.22146327,0.0050,0.0050
Midtown Phillips,44.9537454,-93.25752945,0.0050,0.0050
Minnehaha,44.90977565,-93.21385221,0.0050,0.0050
Morris Park,44.90008109,-93.21519016,0.0050,0.0050
Near - North,44.99266757,-93.29244729,0.0050,0.0050
Nicollet Island - East Bank,44.98769897,-93.25954753,0.0050,0.0050
North End,44.97799635,-93.10738183,0.0050,0.0050
North Loop,44.98540273,-93.27892249,0.0050,0.0050
Northeast Park,45.0041781,-93.22986453,0.0050,0.0050
Northrop,44.92006754,-93.25536004,0.0050,0.0050
Page,44.90735229,-93.26854679,0.0050,0.0050
Payne-Phalen,44.97700127,-93.06965733,0.0050,0.0050
Phillips West,44.95386517,-93.26734114,0.0050,0.0050
Powderhorn Park,44.94125965,-93.25498097,0.0050,0.0050
Prospect Park - East River Road,44.96895072,-93.21668828,0.0050,0.0050
Regina,44.92329192,-93.2686132,0.0050,0.0050
Seward,44.95919153,-93.23112487,0.0050,0.0050
Sheridan,45.0020618,-93.26614913,0.0050,0.0050
St Anthony Park,44.97313534,-93.19420239,0.0050,0.0050
St. Anthony East,44.99561203,-93.2527795,0.0050,0.0050
St. Anthony West,44.99451631,-93.26509386,0.0050,0.0050
Standish,44.93136409,-93.23745526,0.0050,0.0050
Steven's Square - Loring Heights,44.96430573,-93.27731446,0.0050,0.0050
Summit Hill Association,44.93696386,-93.13648479,0.0050,0.0050
Summit-University,44.94867663,-93.12794061,0.0050,0.0050
Sumner - Glenwood,44.98401643,-93.29160121,0.0050,0.0050
Tangletown,44.9120633,-93.2814223,0.0050,0.0050
The Greater East Side,44.97752061,-93.02509193,0.0050,0.0050
Thomas-Dale/Frogtown,44.96050226,-93.12153671,0.0050,0.0050
Union Park,44.94941401,-93.17679649,0.0050,0.0050
University of Minnesota,44.97510326,-93.23452921,0.0050,0.0050
Ventura Village,44.96277534,-93.25790364,0.0050,0.0050
Victory,45.03324043,-93.31354171,0.0050,0.0050
Waite Park,45.02901763,-93.23612467,0.0050,0.0050
Webber - Camden,45.03010447,-93.29739833,0.0050,0.0050
Wenonah,44.90116515,-93.23534136,0.0050,0.0050
West 7th Federation/Fort Road,44.92634635,-93.12586888,0.0050,0.0050
West Calhoun,44.94305035,-93.31969554,0.0050,0.0050
West Side Community Organization,44.93112451,-93.07966789,0.0050,0.0050
Whittier,44.95598497,-93.27958135,0.0050,0.0050
Willard - Hay,44.99636789,-93.31173793,0.0050,0.0050
Windom,44.89702168,-93.28310055,0.0050,0.0050
Windom Park,45.00973939,-93.2349646,0.0050,0.0050
Other - Anoka County,45.273285,-93.246477,0.1500,0.2000
Other - Carver County,44.820683,-93.802596,0.0500,0.1500
Other - Dakota County,44.671868,-93.065505,0.1500,0.3000
Other - Hennepin County,45.01000,-93.4739,0.1500,0.1500
Other - Ramsey County,45.017167,-93.09962,0.1000,0.1500
Other - Scott County,44.648418,-93.536438,0.1100,0.2000
Other - Washington County,45.038722,-92.883968,0.3000,0.1000